CellId,StructureId/Name,save_reg_path,Gene,Location_intensity,Location,WellId,FOVId
86849,Actin filaments,cell_images_3d/4667b897_11860_86849_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11860
86851,Actin filaments,cell_images_3d/39a975ab_11860_86851_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11860
86854,Actin filaments,cell_images_3d/69a70e15_11860_86854_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11860
86855,Actin filaments,cell_images_3d/30ecd1c6_11860_86855_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11860
86867,Actin filaments,cell_images_3d/33339ec4_11855_86867_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86868,Actin filaments,cell_images_3d/c2e340ef_11855_86868_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86870,Actin filaments,cell_images_3d/3a86208f_11855_86870_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86871,Actin filaments,cell_images_3d/8f21f055_11855_86871_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86874,Actin filaments,cell_images_3d/bc12d505_11855_86874_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86875,Actin filaments,cell_images_3d/547063c9_11855_86875_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86877,Actin filaments,cell_images_3d/57b0bf96_11855_86877_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11855
86902,Actin filaments,cell_images_3d/2f7c95a5_11867_86902_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11867
86908,Actin filaments,cell_images_3d/2cc44475_11867_86908_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11867
86909,Actin filaments,cell_images_3d/c76969cd_11867_86909_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11867
86911,Actin filaments,cell_images_3d/ba125fd0_11867_86911_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11867
86923,Actin filaments,cell_images_3d/77690068_11863_86923_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86924,Actin filaments,cell_images_3d/749e3d0d_11863_86924_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86925,Actin filaments,cell_images_3d/c31a2a56_11863_86925_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86926,Actin filaments,cell_images_3d/714f4e1a_11863_86926_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86927,Actin filaments,cell_images_3d/d8a96edd_11863_86927_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86928,Actin filaments,cell_images_3d/25c85329_11863_86928_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86929,Actin filaments,cell_images_3d/127e94a1_11863_86929_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86930,Actin filaments,cell_images_3d/e7f2f2f9_11863_86930_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86931,Actin filaments,cell_images_3d/3a4c343b_11863_86931_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86932,Actin filaments,cell_images_3d/775f9b4d_11863_86932_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11863
86950,Actin filaments,cell_images_3d/c0e5faa1_11854_86950_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11854
86952,Actin filaments,cell_images_3d/b1f02c1f_11854_86952_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11854
86976,Actin filaments,cell_images_3d/d648a848_11865_86976_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11865
86977,Actin filaments,cell_images_3d/13e71e2a_11865_86977_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11865
86978,Actin filaments,cell_images_3d/19b85f30_11865_86978_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11865
86982,Actin filaments,cell_images_3d/22af3a05_11865_86982_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11865
86987,Actin filaments,cell_images_3d/e7516510_11865_86987_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11865
86988,Actin filaments,cell_images_3d/ddb2f9ae_11865_86988_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11865
87001,Actin filaments,cell_images_3d/c144ca15_11850_87001_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11850
87007,Actin filaments,cell_images_3d/446bd311_11850_87007_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11850
87008,Actin filaments,cell_images_3d/da7466d2_11850_87008_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11850
87010,Actin filaments,cell_images_3d/3e9934f8_11850_87010_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113442,11850
87029,Actin filaments,cell_images_3d/0f125db2_11868_87029_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11868
87033,Actin filaments,cell_images_3d/29a19371_11868_87033_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11868
87034,Actin filaments,cell_images_3d/661ead31_11868_87034_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11868
87039,Actin filaments,cell_images_3d/51d24b67_11868_87039_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113432,11868
87056,Actin filaments,cell_images_3d/9a8417c2_10933_87056_reg.tiff,ACTN1,"[(5, 3), (9, 3)]",0,113620,10933
